id,difficulty
HILA_-_Give_Me_the_Same,clean
Quentin_Hannappe_-_Keep_On,clean
Songwriterz_-_Back_In_Time,clean
Kinematic_-_Peyote,clean
Avercage_-_Embers,buried
Color_Out_-_Falling_Star,clean
The.madpix.project_-_One_Way_Street,buried
Wordsmith_-_The_Statement,rap
JASON_MILLER_-_CROWD_PLEASER,rap
Lower_Loveday_-_Is_It_Right_,clean
Pure_Mids_-_The_Leader,clean
Ridgway_-_Fire_Inside,rap
Moon_I_Mean_-_Wrong_Concept,melisma
Slingshot_Miracle_-_Whistler,clean
The_Rinn_-_Voices__2017_Version_,clean
Rxbyn_-_Bad_Side,rap
Tom_Orlando_-_The_One__feat._Tina_G_,rap
LUNABLIND_-_Vision__Radio_Edit_,clean
Explosive_Ear_Candy_-_Like_The_Sun,clean
Cortez_-_Feel__Stripped_,melisma
1_Freak_-_Automatisch_Gekommen,buried
Baila_-_Alfonso_Lugo,clean
Besando_Sapos_-_Dream_Tabu,buried
Bitte_beweg_dich_nicht_-_Bukto,buried
Burn_Out_Man_-_Abendblau,clean
Cafe_Jenseitz_Bebelstraße_-_kangaroo.musique,clean
Capotes_à_un_Franc_-_elmanu,clean
Caralibro_-_Vagos_Permanentes,clean
CHRISTMAS_AVEC_TOI_-_imfreshyourepretty,clean
CLUB_DESTINO__-_Pensando_en_ti_-_CLUB_DESTINO,clean
Confession_-_Quesabe,rap
Culture_&_Co._-_cool.cavemen,buried
Da_wurdest_du_geboren_-_Alice_Tlustos_,held
de_bonne_humeur_-_Le_Nez_Tordu,clean
Der_Baum_-_Dienstag_is_Damensauna_(2),clean
Der_Musiker_-_d-music,melisma
dich_gehen_zu_sehn._-_Wingenbach_Frank,clean
Die_Revolution_gehört_Dir!_-_partysahnen,clean
Diosa_de_la_noche_-_Brunela_Crochenci,melisma
10._Disparan_-_criatura,buried
Drei_Nüsse_-_patrouille,clean
Esencia_-_NandoMalo_,clean
Fantasma_-_Los_Rombos,melisma
Freifliegen_-_durch.dick.und.duenn,held
Fußabdrücke_-_Andreas_Jachmann,clean
Guayeteo_-_JhoyKing,rap
Háblame_-_(Talk_to_me)_-_Brunela_Crochenci,clean
Ich_kann_dich_nicht_vergessen_-_Wingenbach_Frank,buried
Intentando_Destacar_-_Sundayers_,clean
Intro_[Pulsschlag]_-_Zeugen_der_Leere_(2),buried
Keine_Lust_-_Jonny_M,rap
l'abandon_-_flo,clean
La_rumba_del_coronavirus_-_Rich_Don_Jeri,clean
Le_musée_d'air_contemporain_-_KPTN,clean
Les_files_d'attente_-_Law',clean
Libre_by_CybeR_AttaCK_-_CyberAttacK,buried
Mère_nature_-_Law',clean
Mes_Larmes_-_kobzx2z,rap
¡Óyeme_tiburón!_-_Corrientes,held
Yuanan_-_Miedo_-_Yuanan,clean
Musik_-_Heiko,clean
Palabras_-_Javier_Gomez_Bello,clean
Pas_que_tes_pas_-_AZUL,clean
Pluie_d'entre_deux_saisons_-_Midnight_Prefou,clean
POIGNEE_DE_MAIN_-_Cabbac,clean
Quiero_y_Puedo_-_Nacidos_de_la_Tierra,rap
Schnodderdodder_-_Abendblau,clean
Séculaire_feat._Nÿme_-_saru,rap
Sehnsucht-Unplugged_-_REH-TORTE,buried
SHANEY_23_feat._G1NA_G._x_In_den_Strassen_-_Shaney_23,clean
Sin_miedo_-_Living_Camboya,clean
te_amo_-_fabios_la_nueva_expresion_de_la_cancion,clean
Te_Recuerdo_-_Wilson_Way,held
DON_VALDES_-_Tu_sais_Man,clean
Une_Vie_De_Roi_-_david,clean
Vente_-_Fafarulo_Calabaza,buried
Veränderung_-_doromusis,clean
Le_royaume_des_glous_glous_-_Raoul_de_QSM,buried
En_liberté_-_tom.leyak,clean
